id	cate_id	orig_id	uid	uname	key_id	title	content	intro	img	price	rates	url	type	hits	likes	comments	cmt_taobao_time	add_time	tag_cache	comments_cache	seo_title	seo_keys	seo_desc	ordid	status	lisort	album_id	rateofliwu	isselected	host
44	26	2	0	网站管理员	NULL	创意金属便携烟灰缸   让领导时刻展现风度		德国philippi创意金属质感烟灰缸，口袋里都能装得进，精致高档，既能解决烟灰没处掸的烦恼，又能展现绅士风度。礼小，却很高大上。送礼，出其不意才是高招。	1403/26/5332617be5e97.jpg	214.00	0.00	http://detail.tmall.com/item.htm?spm=a230r.1.14.235.oI50pU&id=20576956836	1	6	0	0	0	1395810684	a:3:{i:474;s:9:"烟灰缸";i:402;s:6:"金属";i:486;s:12:"创意礼物";}					255	1	0	0	0.00	0	
33	6	1	0	网站管理员	NULL	红玛瑙手链 好运连连		女人天生都爱美，不管她年纪有多大。这款由天然红玛瑙制成的手链，天然漂亮。送给妈妈既实用又好看，更代表了一份祝福，希望妈妈从此心平气静，富贵开运。	1403/25/533101659d2ba.jpg	199.00	0.00	http://item.taobao.com/item.htm?id=18095066311&ali_trackid=2:mm_33454142_4292838_14534273,0:1394777215_6k1_1273923123&upsid=aad9a140b30e64b02f7850f417b26c77&clk1=aad9a140b30e64b02f7850f417b26c77	1	9	0	0	0	1395720549	a:3:{i:294;s:6:"手链";i:441;s:6:"玛瑙";i:442;s:6:"好运";}					255	1	0	0	0.00	0	
399	342	1	0	网站管理员	NULL	带音乐多功能小汽车助步车   阔气好车		小汽车的造型，“开”出去绝对够拉风......而这款助步车，是孩子学走路时“开”的哦。后轮定滑，宝宝不会形成罗圈腿。底部大又结实。宝宝学走路，稳稳的。拿回家，很阔气呢。	1404/08/5343a79bea40c.jpg	239.00	0.00	http://item.taobao.com/item.htm?spm=a2106.m869.1000384.351.8E89ch&id=15387994656&scm=1029.newlist-0.bts4.50072010&ppath=&sku=&ug=	1	2	0	0	0	1396942748	a:1:{i:1992;s:9:"助步车";}					255	1	0	0	0.00	0	
37	37	1	0	网站管理员	NULL	 创意摆件首饰架 给闺蜜的时尚”嫁妆“		闺蜜的首饰太多了，但是没有一个好的收纳盒。现在给她办嫁妆，当然要送比收纳盒时尚的。“高跟鞋”、“沙发”、“潮流服装”，这些都要送了！	1403/25/533138b70eabc.jpg	149.00	0.00	http://item.taobao.com/item.htm?spm=a1z10.1.w4004-6239975977.2.poK1T7&id=27530812086	1	2	0	0	0	1395734711	a:2:{i:174;s:6:"摆件";i:486;s:12:"创意礼物";}					255	1	0	0	0.00	0	
36	38	1	0	网站管理员	NULL	欧洲古典花仙水果盘 新家要配新水果盘		这是一款精美的欧洲古典水果盘，做工考究，人物栩栩如生，非常适合当乔迁礼物。	1403/25/533132d9287a0.jpg	200.00	0.00	http://item.taobao.com/item.htm?spm=2013.1.w6256397-5869177757.19.efd6tl&id=15139190783&qq-pf-to=pcqq.c2c	1	1	0	0	0	1395733209	a:3:{i:450;s:9:"水果盘";i:174;s:6:"摆件";i:451;s:12:"欧洲古典";}					255	1	0	0	0.00	0	
39	38	1	0	网站管理员	NULL	蔚蓝风铃 声声祝福		这款来自美国纽约下城公园的风铃，颜色深浅有致，像极了变幻着的天空与大海。当微风轻轻袭来，风铃就会发出清脆的声音，人也宛如坐在云卷云舒的天空下，或轻拍着浪花的大海边，惬意极了......	1403/25/5331412d0e84e.jpg	397.00	0.00	http://item.taobao.com/item.htm?id=19766014355&clk1=ac30d241d8e304e7d1cd3a87d771f838&upsid=ac30d241d8e304e7d1cd3a87d771f838	1	13	0	0	0	1395736040	a:2:{i:466;s:6:"风铃";i:590;s:12:"手工礼物";}					255	1	0	0	0.00	0	
40	37	1	0	网站管理员	NULL	可定制陶土画 直到天荒地老的祝福		陶土画，由你自己来设计它的内容与主题，绝对个性。而相对洗出来的照片，它带着自然的味道，更有感情，纪念意义非凡。	1403/25/53314a40af38d.jpg	88.00	0.00	http://item.taobao.com/item.htm?spm=2013.1.0.0.H9OdCx&id=37128615710&scm=1007.10039.560.0&pvid=41c5258f-56b7-4fa5-a931-ef9c796ff85f	1	15	0	0	0	1395736727	a:3:{i:481;s:9:"陶土画";i:453;s:0:"";i:482;s:12:"定制礼物";}					255	1	0	0	0.00	0	
45	6	1	0	网站管理员	NULL	15分钟制浆豆浆机 一步到胃 		15分钟制浆豆浆机 一步到胃 	1403/26/533267c3d8692.jpg	399.00	0.00	http://detail.tmall.com/item.htm?id=35428882396&ali_trackid=2:mm_33454142_4292838_14534273,0:1395811996_6k2_1828571377&upsid=0b40772e1eea926c09ecb3883562890b&clk1=0b40772e1eea926c09ecb3883562890b	1	10	0	0	0	1395812292	a:2:{i:484;s:9:"豆浆机";i:488;s:12:"生活用品";}					255	1	0	0	0.00	0	
541	31	2	0	网站管理员	NULL	稍息立正复古毕业纪念册		稍息立正复古毕业纪念册	1404/11/5347904ac189c.jpg	27.90	0.00	http://detail.tmall.com/item.htm?id=19358535534&ali_trackid=2:mm_33454142_4292838_14534273,43137451:1397198779_6k6_207884045&upsid=f535966150d90cb7d9293aee7bdc6e84&clk1=f535966150d90cb7d9293aee7bdc6e84	1	8	0	0	0	1397198922	a:5:{i:1655;s:6:"稍息";i:1656;s:6:"立正";i:1628;s:9:"纪念册";i:28;s:6:"复古";i:1657;s:6:"毕业";}					255	1	0	0	0.00	0	
542	342	1	0	网站管理员	NULL	宝宝手脚印魔术纪念盒  真实可感的温暖记忆		小东西‎大意义，印泥不仅可为宝宝手脚保留印记，还可用笔尖刻画宝宝的姓名、体重等。这款印泥为100%纯天然印泥土，质感柔软，不会刺激宝宝皮肤。给宝宝留个这样的纪念，才真实可感哦。	1404/11/534794c27578a.jpg	128.00	0.00	http://item.taobao.com/item.htm?spm=a230r.1.14.1.VF6rkr&id=37443280234&_u=bup0jeh6cbc	1	2	0	0	0	1397200066	a:1:{i:1658;s:9:"手脚印";}					255	1	0	0	0.00	0	
